species,name,HSG,singleton,HSG name
33994,Neorickettsia helminthoeca,33993:1,True,Neorickettsia:HSG1
2686014,Neorickettsia findlayensis,33993:0,False,Neorickettsia:HSG0
454154,Paraprevotella clara,577309:1,True,Paraprevotella:HSG1
454155,Paraprevotella xylaniphila,577309:0,True,Paraprevotella:HSG0
398049,Mucilaginibacter daejeonensis,423349:10,True,Mucilaginibacter:HSG10
398053,Mucilaginibacter ginsenosidivorans,423349:11,True,Mucilaginibacter:HSG11
551996,Mucilaginibacter gossypii,423349:0,False,Mucilaginibacter:HSG0
862126,Mucilaginibacter ginsenosidivorax,423349:9,True,Mucilaginibacter:HSG9
1173583,Mucilaginibacter sabulilitoris,423349:8,True,Mucilaginibacter:HSG8
1176721,Mucilaginibacter jinjuensis,423349:6,True,Mucilaginibacter:HSG6
1234841,Mucilaginibacter xinganensis,423349:7,True,Mucilaginibacter:HSG7
1550579,Mucilaginibacter gotjawali,423349:3,True,Mucilaginibacter:HSG3
2027860,Mucilaginibacter rubeus,423349:0,False,Mucilaginibacter:HSG0
2305508,Mucilaginibacter celer,423349:5,True,Mucilaginibacter:HSG5
2682091,Mucilaginibacter ginkgonis,423349:4,True,Mucilaginibacter:HSG4
2728022,Mucilaginibacter robiniae,423349:1,True,Mucilaginibacter:HSG1
2740462,Mucilaginibacter mali,423349:2,True,Mucilaginibacter:HSG2
1416627,Oceanisphaera profunda,225143:1,True,Oceanisphaera:HSG1
1903694,Oceanisphaera avium,225143:0,True,Oceanisphaera:HSG0
1774,Mycobacteroides chelonae,670516:0,False,Mycobacteroides:HSG0
36809,Mycobacteroides abscessus,670516:0,False,Mycobacteroides:HSG0
83262,Mycobacteroides immunogenum,670516:0,False,Mycobacteroides:HSG0
404941,Mycobacteroides salmoniphilum,670516:0,False,Mycobacteroides:HSG0
1520670,[Mycobacterium] stephanolepidis,670516:0,False,Mycobacteroides:HSG0
1578165,Mycobacteroides saopaulense,670516:0,False,Mycobacteroides:HSG0
2421,Thermosipho africanus,2420:2,True,Thermosipho:HSG2
46541,Thermosipho melanesiensis,2420:1,True,Thermosipho:HSG1
2571116,Thermosipho ferrireducens,2420:0,True,Thermosipho:HSG0
